ID,Название,Описание,Приоритет,Итерация,Роль
FR-01,NLP-парсинг свободного текста,"Извлечение из текста: тип активности, клиент, дата, длительность, итог, следующий шаг",P1,1,Продажник
FR-02,Фиксация звонков,"Запись: факт звонка, длительность, клиент, итог (интерес / отказ / перезвонить)",P1,1,Продажник
FR-03,Фиксация встреч,"Запись: дата, место или онлайн, участники, договорённости",P1,1,Продажник
FR-04,Фиксация КП и писем,"Запись: факт отправки, клиент, тип предложения",P1,1,Продажник
FR-05,Подтверждение записи в чате,"После сохранения агент отправляет структурированное подтверждение с извлечёнными данными",P1,1,Продажник
FR-06,Дашборд продажника,"Личная статистика: счётчики по типам активностей за день и неделю, статус плана, открытые задачи",P1,1,Продажник
FR-07,Дашборд менеджера,"Командная таблица активностей с цветовой индикацией и фильтрами по дате и сотруднику",P1,1,Менеджер
FR-08,Обновление этапа сделки,"Смена статуса в воронке, фиксация причины и текущего этапа",P2,1,Продажник
FR-09,Создание follow-up задач,"Автоматическое создание задачи на перезвон или отправку из текста активности",P2,1,Продажник
FR-10,Уведомление об отсутствии активности,"Алерт менеджеру если у продажника нет активностей за рабочий день",P3,1,Менеджер
FR-11,Голосовой ввод,"Поддержка Speech-to-Text для ввода активностей голосом",P1,2,Продажник
FR-12,Уточнение у пользователя,"Агент задаёт уточняющий вопрос если не удалось извлечь обязательные сущности",P2,2,Продажник
FR-13,Интеграция с реальной CRM,"Замена Mock-сервиса на реальную CRM Казахтелекома",P1,3,Система
FR-14,AI-рекомендации по сделкам,"Подсказки агента по следующим шагам на основе истории активностей",P2,3,Продажник
FR-15,Прогноз выполнения плана,"Прогноз на основе текущей динамики активностей",P3,3,Менеджер
